,corredor_armazem,modo_envio,numero_chamadas_cliente,avaliacao_cliente,custo_produto,compras_anteriores,prioridade_produto,genero,desconto,peso_gramas,entregue_no_prazo,performance_prioridade_envio,performance_modo_envio,faixa_desconto,performance_faixa_desconto,corredor_armazem_A,corredor_armazem_B,corredor_armazem_C,corredor_armazem_D,corredor_armazem_F,performance_prioridade_envio_Atraso crítico,performance_prioridade_envio_Atraso problemárico,performance_prioridade_envio_Atraso tolerável,performance_prioridade_envio_Não houve atraso,performance_modo_envio_Atraso Crítico na Entrega por Aviao,performance_modo_envio_Atraso Crítico na Entrega por Caminhao,performance_modo_envio_Atraso Crítico na Entrega por Navio,performance_modo_envio_Atraso Problemático na Entrega por Aviao,performance_modo_envio_Atraso Problemático na Entrega por Caminhao,performance_modo_envio_Atraso Problemático na Entrega por Navio,performance_modo_envio_Atraso Tolerável na Entrega por Aviao,performance_modo_envio_Atraso Tolerável na Entrega por Navio,performance_modo_envio_Não houve atraso,faixa_desconto_Desconto abaixo da média,faixa_desconto_Desconto acima ou igual à média,performance_faixa_desconto_Atraso na Entrega com Desconto Abaixo da Média,performance_faixa_desconto_Entrega no Prazo com Desconto Abaixo da Média,performance_faixa_desconto_Entrega no Prazo com Desconto Acima da Média
0,D,1,2.0993529407853804,2.0993529407853804,0.03389335281227174,2.0993529407853804,1,0,2.0993529407853804,0.03389335281227174,1,Não houve atraso,Não houve atraso,Desconto acima ou igual à média,Entrega no Prazo com Desconto Acima da Média,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1
1,F,1,3.099935704586244,3.099935704586244,0.3048940832724616,3.099935704586244,1,1,3.099935704586244,0.3048940832724616,1,Não houve atraso,Não houve atraso,Desconto acima ou igual à média,Entrega no Prazo com Desconto Acima da Média,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1
2,A,1,2.3661750111322775,2.3661750111322775,0.3466764061358656,2.3661750111322775,1,1,2.3661750111322775,0.3466764061358656,1,Não houve atraso,Não houve atraso,Desconto acima ou igual à média,Entrega no Prazo com Desconto Acima da Média,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1
3,B,1,-0.16863465716324372,-0.16863465716324372,0.02571219868517166,-0.16863465716324372,2,1,-0.16863465716324366,0.02571219868517166,1,Não houve atraso,Não houve atraso,Desconto abaixo da média,Entrega no Prazo com Desconto Abaixo da Média,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0
4,C,1,2.232763975958829,2.232763975958829,0.216654492330168,2.232763975958829,2,0,2.232763975958829,0.216654492330168,1,Não houve atraso,Não houve atraso,Desconto acima ou igual à média,Entrega no Prazo com Desconto Acima da Média,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1
5,F,1,-0.035223621989795235,-0.035223621989795235,0.06077428780131483,-0.035223621989795235,2,0,-0.035223621989795194,0.06077428780131483,1,Não houve atraso,Não houve atraso,Desconto acima ou igual à média,Entrega no Prazo com Desconto Acima da Média,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1
6,D,1,-0.6355732802703133,-0.6355732802703133,0.20014609203798392,-0.6355732802703133,1,0,-0.6355732802703133,0.20014609203798392,1,Não houve atraso,Não houve atraso,Desconto abaixo da média,Entrega no Prazo com Desconto Abaixo da Média,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0
7,F,1,2.3661750111322775,2.3661750111322775,0.2634039444850256,2.3661750111322775,1,0,2.3661750111322775,0.2634039444850256,1,Não houve atraso,Não houve atraso,Desconto acima ou igual à média,Entrega no Prazo com Desconto Acima da Média,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1
8,A,1,-0.10192913957651947,-0.10192913957651947,0.12563915266617967,-0.10192913957651947,1,0,-0.10192913957651943,0.12563915266617967,1,Não houve atraso,Não houve atraso,Desconto abaixo da média,Entrega no Prazo com Desconto Abaixo da Média,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0
9,B,1,1.0987701769845168,1.0987701769845168,0.027173119065010964,1.0987701769845168,2,0,1.0987701769845168,0.027173119065010964,1,Não houve atraso,Não houve atraso,Desconto acima ou igual à média,Entrega no Prazo com Desconto Acima da Média,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1
